* Measurement data measured by REW V5.40 beta 100
* Source: /home/giacomo/DRC/DRC-120.blue/X801.wav
* Format: Imported Impulse Response, 48000.0 Hz sampling
* Dated: Sep 23, 2025 9:57:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Impulse Response imported from /home/giacomo/DRC/DRC-120.blue/X801.wav 131072 samples (2.73 s) of 32-bit Float data at 48 kHz
* Measurement: X801 (revised)
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
152.343738 -0.000 74.2205
152.709949 -0.000 74.4122
153.076159 0.000 74.6041
153.442370 0.000 74.7966
153.808581 0.000 74.9889
154.174792 -0.000 75.1810
154.541003 -0.000 75.3732
154.907214 0.000 75.5654
155.273425 0.000 75.7580
155.639636 0.000 75.9508
156.005847 -0.000 76.1434
156.372058 -0.000 76.3361
156.738269 -0.000 76.5286
157.104479 0.000 76.7214
157.470690 0.000 76.9146
157.836901 0.000 77.1077
158.203112 -0.000 77.3008
158.569323 -0.000 77.4938
158.935534 0.000 77.6867
159.301745 0.000 77.8802
159.667956 0.000 78.0739
160.034167 -0.000 78.2673
160.400378 -0.000 78.4608
160.766589 -0.000 78.6541
161.132799 0.000 78.8477
161.499010 0.000 79.0418
161.865221 0.000 79.2357
162.231432 -0.000 79.4296
162.597643 -0.000 79.6234
162.963854 0.000 79.8172
163.330065 0.000 80.0116
163.696276 0.000 80.2060
164.062487 -0.000 80.4002
164.428698 -0.000 80.5945
164.794908 -0.000 80.7886
165.161119 0.000 80.9831
165.527330 0.000 81.1780
165.893541 0.000 81.3727
166.259752 -0.000 81.5673
166.625963 -0.000 81.7619
166.992174 0.000 81.9565
167.358385 0.000 82.1517
167.724596 0.000 82.3469
168.090807 -0.000 82.5420
168.457018 -0.000 82.7370
168.823228 -0.000 82.9319
169.189439 0.000 83.1272
169.555650 0.000 83.3229
169.921861 0.000 83.5184
170.288072 -0.000 83.7138
170.654283 -0.000 83.9092
171.020494 0.000 84.1046
171.386705 0.000 84.3006
171.752916 0.000 84.4966
172.119127 -0.000 84.6924
172.485338 -0.000 84.8882
172.851548 -0.000 85.0839
173.217759 0.000 85.2800
173.583970 0.000 85.4764
173.950181 0.000 85.6726
174.316392 -0.000 85.8689
174.682603 -0.000 86.0649
175.048814 0.000 86.2612
175.415025 0.000 86.4579
175.781236 0.000 86.6546
176.147447 -0.000 86.8512
176.513658 -0.000 87.0478
176.879868 -0.000 87.2442
177.246079 0.000 87.4411
177.612290 0.000 87.6383
177.978501 0.000 87.8352
178.344712 -0.000 88.0322
178.710923 -0.000 88.2290
179.077134 0.000 88.4260
179.443345 0.000 88.6235
179.809556 0.000 88.8209
180.175767 -0.000 89.0182
180.541978 -0.000 89.2155
180.908188 -0.000 89.4126
181.274399 0.000 89.6103
181.640610 0.000 89.8082
182.006821 -0.000 90.0058
182.373032 -0.000 90.2035
182.739243 -0.000 90.4010
183.105454 0.000 90.5987
183.471665 0.000 90.7969
183.837876 0.000 90.9950
184.204087 -0.000 91.1931
184.570298 -0.000 91.3910
184.936508 -0.000 91.5889
185.302719 0.000 91.7872
185.668930 0.000 91.9858
186.035141 -0.000 92.1841
186.401352 -0.000 92.3825
186.767563 -0.000 92.5807
187.133774 0.000 92.7791
187.499985 0.000 92.9780
187.866196 0.000 93.1767
188.232407 -0.000 93.3755
188.598617 -0.000 93.5740
188.964828 -0.000 93.7726
189.331039 0.000 93.9717
189.697250 0.000 94.1708
190.063461 -0.000 94.3699
190.429672 -0.000 94.5689
190.795883 -0.000 94.7676
191.162094 0.000 94.9668
191.528305 0.000 95.1663
191.894516 0.000 95.3657
192.260727 -0.000 95.5651
192.626937 -0.000 95.7643
192.993148 -0.000 95.9635
193.359359 0.000 96.1632
193.725570 0.000 96.3630
194.091781 -0.000 96.5626
194.457992 -0.000 96.7622
194.824203 -0.000 96.9616
195.190414 0.000 97.1614
195.556625 0.000 97.3615
195.922836 0.000 97.5615
196.289047 -0.000 97.7615
196.655257 -0.000 97.9613
197.021468 -0.000 98.1611
197.387679 0.000 98.3614
197.753890 0.000 98.5618
198.120101 -0.000 98.7620
198.486312 -0.000 98.9622
198.852523 -0.000 99.1621
199.218734 0.000 99.3625
199.584945 0.000 99.5632
199.951156 0.000 99.7638
200.317367 -0.000 99.9643
200.683577 -0.000 100.1646
201.049788 -0.000 100.3650
201.415999 0.000 100.5659
201.782210 0.000 100.7668
202.148421 -0.000 100.9676
202.514632 -0.000 101.1683
202.880843 -0.000 101.3688
203.247054 0.000 101.5697
203.613265 0.000 101.7710
203.979476 0.000 101.9720
204.345687 -0.000 102.1731
204.711897 -0.000 102.3739
205.078108 -0.000 102.5748
205.444319 0.000 102.7762
205.810530 0.000 102.9776
206.176741 -0.000 103.1789
206.542952 -0.000 103.3801
206.909163 -0.000 103.5811
207.275374 0.000 103.7826
207.641585 0.000 103.9842
208.007796 0.000 104.1858
208.374007 -0.000 104.3874
208.740217 -0.000 104.5886
209.106428 -0.000 104.7900
209.472639 0.000 104.9919
209.838850 0.000 105.1937
210.205061 -0.000 105.3955
210.571272 -0.000 105.5971
210.937483 -0.000 105.7986
211.303694 0.000 106.0005
211.669905 0.000 106.2026
212.036116 0.000 106.4046
212.402326 -0.000 106.6066
212.768537 -0.000 106.8082
213.134748 -0.000 107.0101
213.500959 0.000 107.2124
213.867170 0.000 107.4147
214.233381 -0.000 107.6169
214.599592 -0.000 107.8189
214.965803 -0.000 108.0207
215.332014 0.000 108.2231
215.698225 0.000 108.4256
216.064436 -0.000 108.6280
216.430646 -0.000 108.8303
216.796857 -0.000 109.0323
217.163068 -0.000 109.2346
217.529279 0.000 109.4373
217.895490 0.000 109.6399
218.261701 -0.000 109.8425
218.627912 -0.000 110.0448
218.994123 -0.000 110.2470
219.360334 0.000 110.4498
219.726545 0.000 110.6525
220.092756 -0.000 110.8553
220.458966 -0.000 111.0579
220.825177 -0.000 111.2603
221.191388 -0.000 111.4629
221.557599 0.000 111.6659
221.923810 0.000 111.8688
222.290021 -0.000 112.0717
222.656232 -0.000 112.2743
223.022443 -0.000 112.4768
223.388654 0.000 112.6799
223.754865 0.000 112.8829
224.121076 -0.000 113.0860
224.487286 -0.000 113.2889
224.853497 -0.000 113.4915
225.219708 0.000 113.6945
225.585919 0.000 113.8977
225.952130 0.000 114.1008
226.318341 -0.000 114.3040
226.684552 -0.000 114.5068
227.050763 -0.000 114.7096
227.416974 0.000 114.9129
227.783185 0.000 115.1162
228.149396 -0.000 115.3195
228.515606 -0.000 115.5226
228.881817 -0.000 115.7254
229.248028 0.000 115.9286
229.614239 0.000 116.1320
229.980450 0.000 116.3354
230.346661 -0.000 116.5387
230.712872 -0.000 116.7417
231.079083 -0.000 116.9448
231.445294 0.000 117.1483
231.811505 0.000 117.3517
232.177716 -0.000 117.5552
232.543926 -0.000 117.7584
232.910137 -0.000 117.9614
233.276348 0.000 118.1648
233.642559 0.000 118.3683
234.008770 0.000 118.5719
234.374981 -0.000 118.7753
234.741192 -0.000 118.9784
