* Measurement data measured by REW V5.40 beta 121
* Source: EQ window target shape
* Format: 
* Dated: Aug 12, 2026, 11:32:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Target LRrms+phavg
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 2.5 Hz
*
* Freq(Hz) SPL(dB)
3753.475701 69.142
3780.674934 69.142
3808.071263 69.142
3835.666117 69.142
3863.460935 69.142
3891.457165 69.142
3919.656268 69.142
3948.059713 69.142
3976.668981 69.142
4005.485564 69.142
4034.510963 69.142
4063.746693 69.142
4093.194277 69.142
4122.855250 69.142
4152.731158 69.142
4182.823560 69.142
4213.134024 69.142
4243.664130 69.142
4274.415470 69.142
4305.389646 69.142
4336.588274 69.142
4368.012981 69.142
4399.665403 69.142
4431.547192 69.142
4463.660010 69.142
4496.005531 69.142
4528.585440 69.142
4561.401437 69.142
4594.455232 69.142
4627.748549 69.142
4661.283122 69.142
4695.060701 69.142
4729.083046 69.142
4763.351932 69.142
4797.869143 69.142
4832.636481 69.142
4867.655757 69.142
4902.928797 69.142
4938.457440 69.142
4974.243539 69.142
5010.288958 69.142
5046.595577 69.142
5083.165289 69.142
5120.000000 69.142
5157.101631 69.142
5194.472115 69.142
5232.113401 69.142
5270.027452 69.142
5308.216243 69.142
5346.681766 69.142
5385.426026 69.142
5424.451043 69.142
5463.758851 69.142
5503.351500 69.142
5543.231054 69.142
5583.399591 69.142
5623.859206 69.142
5664.612008 69.142
5705.660122 69.142
5747.005687 69.142
5788.650860 69.142
5830.597810 69.142
5872.848725 69.142
5915.405808 69.142
5958.271277 69.142
6001.447367 69.142
6044.936328 69.142
6088.740429 69.142
6132.861952 69.142
6177.303198 69.142
6222.066483 69.142
6267.154142 69.142
6312.568524 69.142
6358.311998 69.142
6404.386948 69.142
6450.795775 69.142
6497.540901 69.142
6544.624761 69.142
6592.049809 69.142
6639.818520 69.142
6687.933382 69.142
6736.396904 69.142
6785.211613 69.142
6834.380053 69.142
6883.904789 69.142
6933.788400 69.142
6984.033489 69.142
7034.642675 69.142
7085.618596 69.142
7136.963909 69.142
7188.681291 69.142
