* Measurement data measured by REW V5.30.9
* Source: /home/giacomo/DRC/DRC-120/X801.wav
* Format: Imported Impulse Response, 48000.0 Hz sampling
* Dated: Nov 22, 2024 2:51:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Impulse Response imported from /home/giacomo/DRC/DRC-120/X801.wav 131071 samples (2.73 s) of 64-bit Float data at 48 kHz
* Measurement: X801
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
162.597643 0.000 85.4856
162.963854 0.000 85.6952
163.330065 0.000 85.9048
163.696276 0.000 86.1146
164.062487 0.000 86.3244
164.428698 0.000 86.5343
164.794908 0.000 86.7443
165.161119 0.000 86.9543
165.527330 0.000 87.1645
165.893541 0.000 87.3747
166.259752 0.000 87.5850
166.625963 0.000 87.7953
166.992174 0.000 88.0058
167.358385 0.000 88.2163
167.724596 0.000 88.4269
168.090807 0.000 88.6375
168.457018 0.000 88.8483
168.823228 0.000 89.0591
169.189439 0.000 89.2700
169.555650 0.000 89.4809
169.921861 0.000 89.6919
170.288072 0.000 89.9030
170.654283 0.000 90.1142
171.020494 0.000 90.3255
171.386705 0.000 90.5368
171.752916 0.000 90.7482
172.119127 0.000 90.9597
172.485338 0.000 91.1712
172.851548 0.000 91.3828
173.217759 0.000 91.5945
173.583970 0.000 91.8063
173.950181 0.000 92.0181
174.316392 0.000 92.2300
174.682603 0.000 92.4419
175.048814 0.000 92.6540
175.415025 0.000 92.8661
175.781236 0.000 93.0782
176.147447 0.000 93.2905
176.513658 0.000 93.5028
176.879868 0.000 93.7151
177.246079 0.000 93.9276
177.612290 0.000 94.1401
177.978501 0.000 94.3527
178.344712 0.000 94.5653
178.710923 0.000 94.7780
179.077134 0.000 94.9908
179.443345 0.000 95.2036
179.809556 0.000 95.4165
180.175767 0.000 95.6295
180.541978 0.000 95.8425
180.908188 0.000 96.0556
181.274399 0.000 96.2687
181.640610 0.000 96.4820
182.006821 0.000 96.6952
182.373032 0.000 96.9086
182.739243 0.000 97.1220
183.105454 0.000 97.3354
183.471665 0.000 97.5490
183.837876 0.000 97.7626
184.204087 0.000 97.9762
184.570298 0.000 98.1899
184.936508 0.000 98.4037
185.302719 0.000 98.6175
185.668930 0.000 98.8314
186.035141 0.000 99.0453
186.401352 0.000 99.2593
186.767563 0.000 99.4734
187.133774 0.000 99.6875
187.499985 0.000 99.9016
187.866196 0.000 100.1159
188.232407 0.000 100.3301
188.598617 0.000 100.5445
188.964828 0.000 100.7589
189.331039 0.000 100.9733
189.697250 0.000 101.1878
190.063461 0.000 101.4023
190.429672 0.000 101.6169
190.795883 0.000 101.8316
191.162094 0.000 102.0463
191.528305 0.000 102.2611
191.894516 0.000 102.4759
192.260727 0.000 102.6907
192.626937 0.000 102.9056
192.993148 0.000 103.1206
193.359359 0.000 103.3356
193.725570 0.000 103.5506
194.091781 0.000 103.7658
194.457992 0.000 103.9809
194.824203 0.000 104.1961
195.190414 0.000 104.4114
195.556625 0.000 104.6267
195.922836 0.000 104.8420
196.289047 0.000 105.0574
196.655257 0.000 105.2728
197.021468 0.000 105.4883
197.387679 0.000 105.7038
197.753890 0.000 105.9194
198.120101 0.000 106.1350
198.486312 0.000 106.3506
198.852523 0.000 106.5663
199.218734 0.000 106.7820
199.584945 0.000 106.9978
199.951156 0.000 107.2136
200.317367 0.000 107.4295
200.683577 0.000 107.6454
201.049788 0.000 107.8613
201.415999 0.000 108.0773
201.782210 0.000 108.2933
202.148421 0.000 108.5093
202.514632 0.000 108.7254
202.880843 0.000 108.9415
203.247054 0.000 109.1577
203.613265 0.000 109.3739
203.979476 0.000 109.5901
204.345687 0.000 109.8063
204.711897 0.000 110.0226
205.078108 0.000 110.2390
205.444319 0.000 110.4553
205.810530 0.000 110.6717
206.176741 0.000 110.8881
206.542952 0.000 111.1046
206.909163 0.000 111.3211
207.275374 0.000 111.5376
207.641585 0.000 111.7541
208.007796 0.000 111.9707
208.374007 0.000 112.1873
208.740217 0.000 112.4039
209.106428 0.000 112.6206
209.472639 0.000 112.8372
209.838850 0.000 113.0540
210.205061 0.000 113.2707
210.571272 0.000 113.4874
210.937483 0.000 113.7042
211.303694 0.000 113.9210
211.669905 0.000 114.1379
212.036116 0.000 114.3547
212.402326 0.000 114.5716
212.768537 0.000 114.7885
213.134748 0.000 115.0054
213.500959 0.000 115.2223
213.867170 0.000 115.4393
214.233381 0.000 115.6563
214.599592 0.000 115.8733
214.965803 0.000 116.0903
215.332014 0.000 116.3073
215.698225 0.000 116.5243
216.064436 0.000 116.7414
216.430646 0.000 116.9585
216.796857 0.000 117.1756
217.163068 0.000 117.3927
217.529279 0.000 117.6098
217.895490 0.000 117.8269
218.261701 0.000 118.0441
218.627912 0.000 118.2612
218.994123 0.000 118.4784
219.360334 0.000 118.6956
219.726545 0.000 118.9128
220.092756 0.000 119.1300
220.458966 0.000 119.3472
220.825177 0.000 119.5644
221.191388 0.000 119.7816
221.557599 0.000 119.9989
221.923810 0.000 120.2161
222.290021 0.000 120.4333
222.656232 0.000 120.6506
223.022443 0.000 120.8679
223.388654 0.000 121.0851
223.754865 0.000 121.3024
224.121076 0.000 121.5196
224.487286 0.000 121.7369
